date,district_raw,district_key,in_district_list,in_revenue_circle
2025-08-10,Sivasagar,sivasagar,True,True
2025-08-10,Dhemaji,dhemaji,True,True
2025-08-10,Charaideo,charaideo,True,True
2025-08-11,Charaideo,charaideo,True,True
2025-08-11,Dibrugarh,dibrugarh,True,True
2025-08-11,Kokrajhar,kokrajhar,True,True
2025-08-11,Dhemaji,dhemaji,True,True
2025-08-11,Sivasagar,sivasagar,True,True
2025-08-12,Dibrugarh,dibrugarh,True,True
2025-08-12,Dhemaji,dhemaji,True,True
2025-08-12,Kokrajhar,kokrajhar,True,True
2025-08-12,Sivasagar,sivasagar,True,True
2025-08-13,Dhemaji,dhemaji,True,True
2025-08-13,Sivasagar,sivasagar,True,True
2025-08-13,Biswanath,biswanath,True,True
2025-08-13,Lakhimpur,lakhimpur,True,True
2025-08-13,Sonitpur,sonitpur,True,True
2025-08-13,Kokrajhar,kokrajhar,True,True
2025-08-13,Dibrugarh,dibrugarh,True,True
2025-08-13,Darrang,darrang,True,True
2025-08-14,Lakhimpur,lakhimpur,True,True
2025-08-14,Kokrajhar,kokrajhar,True,True
2025-08-14,Dhemaji,dhemaji,True,True
2025-08-14,Sonitpur,sonitpur,True,True
2025-08-14,Dibrugarh,dibrugarh,True,True
2025-08-14,Sivasagar,sivasagar,True,True
2025-08-14,Biswanath,biswanath,True,True
2025-08-14,Darrang,darrang,True,True
2025-08-15,Dhemaji,dhemaji,True,True
2025-08-15,Sonitpur,sonitpur,True,True
2025-08-15,Biswanath,biswanath,True,True
2025-08-15,Dibrugarh,dibrugarh,True,True
2025-08-15,Sivasagar,sivasagar,True,True
2025-08-16,Sonitpur,sonitpur,True,True
2025-08-16,Dhemaji,dhemaji,True,True
2025-08-16,Dibrugarh,dibrugarh,True,True
2025-08-16,Sivasagar,sivasagar,True,True
2025-08-17,Sivasagar,sivasagar,True,True
2025-08-17,Dibrugarh,dibrugarh,True,True
2025-08-17,Jorhat,jorhat,True,True
2025-08-18,Dibrugarh,dibrugarh,True,True
2025-08-18,Sivasagar,sivasagar,True,True
2025-08-18,Jorhat,jorhat,True,True
2025-08-19,Sivasagar,sivasagar,True,True
2025-08-19,Jorhat,jorhat,True,True
2025-08-20,Jorhat,jorhat,True,True
2025-08-20,Biswanath,biswanath,True,True
2025-08-20,Sivasagar,sivasagar,True,True
2025-08-21,Sivasagar,sivasagar,True,True
2025-08-23,Biswanath,biswanath,True,True
2025-08-23,Golaghat,golaghat,True,True
2025-08-27,Jorhat,jorhat,True,True
2025-08-27,Golaghat,golaghat,True,True
2025-08-27,Sivasagar,sivasagar,True,True
2025-08-28,Jorhat,jorhat,True,True
2025-08-28,Golaghat,golaghat,True,True
2025-08-28,Sivasagar,sivasagar,True,True
2025-08-29,Sivasagar,sivasagar,True,True
2025-08-29,Dhemaji,dhemaji,True,True
2025-08-29,Jorhat,jorhat,True,True
2025-08-30,Sivasagar,sivasagar,True,True
2025-08-30,Biswanath,biswanath,True,True
2025-08-30,Dhemaji,dhemaji,True,True
2025-08-30,Lakhimpur,lakhimpur,True,True
2025-08-31,Dhemaji,dhemaji,True,True
2025-08-31,Sivasagar,sivasagar,True,True
2025-08-31,Lakhimpur,lakhimpur,True,True
2025-08-31,Biswanath,biswanath,True,True
2025-09-01,Dhemaji,dhemaji,True,True
2025-09-01,Lakhimpur,lakhimpur,True,True
2025-09-01,Sivasagar,sivasagar,True,True
2025-09-02,Sivasagar,sivasagar,True,True
2025-09-03,Sivasagar,sivasagar,True,True
2025-09-12,Golaghat,golaghat,True,True
2025-09-13,Charaideo,charaideo,True,True
2025-09-14,Charaideo,charaideo,True,True
2025-09-14,Kokrajhar,kokrajhar,True,True
2025-09-14,Golaghat,golaghat,True,True
2025-09-15,Biswanath,biswanath,True,True
2025-09-15,Golaghat,golaghat,True,True
2025-09-15,Cachar,cachar,True,True
2025-09-15,Karbi Anglong,karbianglong,True,True
2025-09-15,Sonitpur,sonitpur,True,True
2025-09-16,Golaghat,golaghat,True,True
2025-09-16,Biswanath,biswanath,True,True
2025-09-16,Sonitpur,sonitpur,True,True
2025-09-16,Karbi Anglong,karbianglong,True,True
2025-09-16,Nagaon,nagaon,True,True
2025-09-16,Cachar,cachar,True,True
2025-09-17,Golaghat,golaghat,True,True
2025-09-17,Nagaon,nagaon,True,True
2025-09-17,Sonitpur,sonitpur,True,True
2025-09-17,Biswanath,biswanath,True,True
2025-09-17,Cachar,cachar,True,True
2025-09-17,Karbi Anglong,karbianglong,True,True
2025-09-18,Golaghat,golaghat,True,True
2025-09-18,Cachar,cachar,True,True
2025-09-18,Sonitpur,sonitpur,True,True
2025-09-18,Nagaon,nagaon,True,True
2025-09-18,Biswanath,biswanath,True,True
2025-09-19,Golaghat,golaghat,True,True
2025-09-19,Nagaon,nagaon,True,True
2025-09-19,Sonitpur,sonitpur,True,True
2025-09-19,Cachar,cachar,True,True
2025-09-19,Biswanath,biswanath,True,True
2025-09-22,Golaghat,golaghat,True,True
2025-09-22,Nagaon,nagaon,True,True
2025-09-23,Golaghat,golaghat,True,True
2025-09-24,Golaghat,golaghat,True,True
2025-09-25,Golaghat,golaghat,True,True
2025-10-01,Sivasagar,sivasagar,True,True
2025-10-02,Jorhat,jorhat,True,True
2025-10-02,Sivasagar,sivasagar,True,True
2025-10-03,Jorhat,jorhat,True,True
2025-10-04,Jorhat,jorhat,True,True
2025-10-05,Dhemaji,dhemaji,True,True
2025-10-05,Jorhat,jorhat,True,True
2025-10-06,Dhemaji,dhemaji,False,True
2025-10-06,Jorhat,jorhat,False,True
2025-10-06,Kokrajhar,kokrajhar,False,True
2025-10-07,Dhemaji,dhemaji,True,True
2025-10-07,Jorhat,jorhat,True,True
2025-10-07,Kokrajhar,kokrajhar,True,True
2025-10-08,Dhemaji,dhemaji,True,True
2025-10-09,Dhemaji,dhemaji,True,True
2025-10-13,Cachar,cachar,True,True
2026-05-01,Goalpara,goalpara,True,True
2026-05-02,Goalpara,goalpara,True,True
2026-05-03,Goalpara,goalpara,True,True
2026-05-04,Goalpara,goalpara,True,True
2026-05-05,Goalpara,goalpara,True,True
2026-05-06,Goalpara,goalpara,True,True
2026-05-15,Cachar,cachar,True,True
2026-05-16,Cachar,cachar,True,True
2026-05-21,Lakhimpur,lakhimpur,True,True
2026-05-23,Lakhimpur,lakhimpur,True,True
2026-05-25,Lakhimpur,lakhimpur,True,True
2026-06-04,Dhemaji,dhemaji,True,True
2026-06-05,Dibrugarh,dibrugarh,True,True
2026-06-05,Dhemaji,dhemaji,True,True
2026-06-06,Dibrugarh,dibrugarh,True,True
2026-06-07,Dibrugarh,dibrugarh,True,True
2026-06-08,Dibrugarh,dibrugarh,True,True
2026-06-08,Lakhimpur,lakhimpur,True,True
2026-06-11,Jorhat,jorhat,True,True
2026-06-11,Lakhimpur,lakhimpur,True,True
2026-06-11,Biswanath,biswanath,True,True
2026-06-11,Dhemaji,dhemaji,True,True
2026-06-12,Dhemaji,dhemaji,True,True
2026-06-15,Dhemaji,dhemaji,True,True
2026-06-17,Dhemaji,dhemaji,True,True
2026-06-17,Charaideo,charaideo,True,True
2026-06-18,Dibrugarh,dibrugarh,True,True
2026-06-18,Dhemaji,dhemaji,True,True
2026-06-18,Charaideo,charaideo,True,True
2026-06-19,Dibrugarh,dibrugarh,True,True
2026-06-19,Dhemaji,dhemaji,True,True
2026-06-19,Charaideo,charaideo,True,True
2026-06-20,Dhemaji,dhemaji,True,True
2026-06-20,Dibrugarh,dibrugarh,True,True
2026-06-20,Charaideo,charaideo,True,True
2026-06-21,Dhemaji,dhemaji,True,True
2026-06-21,Dibrugarh,dibrugarh,True,True
2026-06-21,Charaideo,charaideo,True,True
2026-06-21,Lakhimpur,lakhimpur,True,True
2026-06-22,Dhemaji,dhemaji,True,True
2026-06-22,Dibrugarh,dibrugarh,True,True
2026-06-22,Lakhimpur,lakhimpur,True,True
2026-06-22,Biswanath,biswanath,True,True
2026-06-22,Charaideo,charaideo,True,True
2026-06-23,Biswanath,biswanath,True,True
2026-06-23,Dibrugarh,dibrugarh,True,True
2026-06-23,Dhemaji,dhemaji,True,True
2026-06-23,Nalbari,nalbari,True,True
2026-06-23,Lakhimpur,lakhimpur,True,True
2026-06-24,Dhemaji,dhemaji,True,True
2026-06-24,Nalbari,nalbari,True,True
2026-06-24,Cachar,cachar,True,True
2026-06-24,Dibrugarh,dibrugarh,True,True
2026-06-24,Biswanath,biswanath,True,True
2026-06-24,Lakhimpur,lakhimpur,True,True
2026-06-24,Bajali,bajali,True,True
2026-06-25,Biswanath,biswanath,True,True
2026-06-25,Dibrugarh,dibrugarh,True,True
2026-06-25,Dhemaji,dhemaji,True,True
2026-06-25,Lakhimpur,lakhimpur,True,True
2026-06-25,Bajali,bajali,True,True
2026-06-26,Dibrugarh,dibrugarh,True,True
2026-06-26,Lakhimpur,lakhimpur,True,True
2026-06-26,Dhemaji,dhemaji,True,True
2026-06-26,Bajali,bajali,True,True
2026-06-27,Dibrugarh,dibrugarh,True,True
2026-06-27,Dhemaji,dhemaji,True,True
2026-06-27,Lakhimpur,lakhimpur,True,True
2026-06-28,Dhemaji,dhemaji,True,True
2026-06-28,Nalbari,nalbari,True,True
2026-06-28,Dibrugarh,dibrugarh,True,True
2026-06-28,Chirang,chirang,True,True
2026-06-28,Lakhimpur,lakhimpur,True,True
2026-06-28,Kokrajhar,kokrajhar,True,True
2026-06-29,Bongaigaon,bongaigaon,True,True
2026-06-29,Dhemaji,dhemaji,True,True
2026-06-29,Chirang,chirang,True,True
2026-06-29,Dibrugarh,dibrugarh,True,True
2026-06-29,Nalbari,nalbari,True,True
2026-06-29,Biswanath,biswanath,True,True
2026-06-29,Lakhimpur,lakhimpur,True,True
2026-06-30,Dhemaji,dhemaji,True,True
2026-06-30,Nalbari,nalbari,True,True
2026-06-30,Dibrugarh,dibrugarh,True,True
2026-06-30,Chirang,chirang,True,True
2026-06-30,Lakhimpur,lakhimpur,True,True
2026-06-30,Biswanath,biswanath,True,True
2026-07-01,Dhemaji,dhemaji,True,True
2026-07-01,Dibrugarh,dibrugarh,True,True
2026-07-01,Biswanath,biswanath,True,True
2026-07-01,Nalbari,nalbari,True,True
2026-07-02,Dibrugarh,dibrugarh,True,False
2026-07-02,Dhemaji,dhemaji,True,False
2026-07-03,Dhemaji,dhemaji,True,True
2026-07-04,Dhemaji,dhemaji,True,True
2026-07-05,Dhemaji,dhemaji,True,True
2026-07-06,Dhemaji,dhemaji,True,True
2026-07-06,Baksa,baksa,True,True
2026-07-07,Dhemaji,dhemaji,True,True
2026-07-07,Jorhat,jorhat,True,True
2026-07-08,Dhemaji,dhemaji,True,True
2026-07-09,Dhemaji,dhemaji,True,True
2026-07-10,Dhemaji,dhemaji,True,True
2026-07-11,Dhemaji,dhemaji,True,True
2026-07-11,Dibrugarh,dibrugarh,True,True
2026-07-12,Dhemaji,dhemaji,True,True
2026-07-13,Sivasagar,sivasagar,True,True
2026-07-13,Lakhimpur,lakhimpur,True,True
2026-07-13,Darrang,darrang,True,True
2026-07-13,Sonitpur,sonitpur,True,True
2026-07-13,Dhemaji,dhemaji,True,True
2026-07-13,Jorhat,jorhat,True,True
2026-07-14,Sonitpur,sonitpur,True,True
2026-07-14,Dibrugarh,dibrugarh,True,True
2026-07-14,Lakhimpur,lakhimpur,True,True
2026-07-14,Dhemaji,dhemaji,True,True
2026-07-14,Jorhat,jorhat,True,True
2026-07-14,Sivasagar,sivasagar,True,True
2026-07-15,Lakhimpur,lakhimpur,True,True
2026-07-15,Sivasagar,sivasagar,True,True
2026-07-15,Sonitpur,sonitpur,True,True
2026-07-15,Dhemaji,dhemaji,True,True
2026-07-15,Biswanath,biswanath,True,True
2026-07-15,Jorhat,jorhat,True,True
2026-07-16,Biswanath,biswanath,True,True
2026-07-16,Lakhimpur,lakhimpur,True,True
2026-07-16,Dhemaji,dhemaji,True,True
2026-07-16,Sonitpur,sonitpur,True,True
2026-07-16,Charaideo,charaideo,True,True
2026-07-16,Sivasagar,sivasagar,True,True
2026-07-16,Tinsukia,tinsukia,True,True
2026-07-17,Biswanath,biswanath,True,True
2026-07-17,Dibrugarh,dibrugarh,True,True
2026-07-17,Dhemaji,dhemaji,True,True
2026-07-17,Sivasagar,sivasagar,True,True
2026-07-17,Jorhat,jorhat,True,True
2026-07-17,Tinsukia,tinsukia,True,True
2026-07-17,Lakhimpur,lakhimpur,True,True
2026-07-18,Dhemaji,dhemaji,True,True
2026-07-18,Dibrugarh,dibrugarh,True,True
2026-07-18,Sivasagar,sivasagar,True,True
2026-07-18,Lakhimpur,lakhimpur,True,True
2026-07-18,Tinsukia,tinsukia,True,True
2026-07-19,Dhemaji,dhemaji,True,True
2026-07-19,Dibrugarh,dibrugarh,True,True
2026-07-19,Charaideo,charaideo,True,True
2026-07-19,Tinsukia,tinsukia,True,True
2026-07-19,Lakhimpur,lakhimpur,True,True
2026-07-19,Sivasagar,sivasagar,True,True
2026-07-19,Udalguri,udalguri,True,True
2026-07-19,Jorhat,jorhat,True,True
2026-07-20,Jorhat,jorhat,True,True
2026-07-20,Charaideo,charaideo,True,True
2026-07-20,Sonitpur,sonitpur,True,True
2026-07-20,Dibrugarh,dibrugarh,True,True
2026-07-20,Chirang,chirang,True,True
2026-07-20,Udalguri,udalguri,True,True
2026-07-20,Biswanath,biswanath,True,True
2026-07-20,Golaghat,golaghat,True,True
2026-07-20,Cachar,cachar,True,True
2026-07-20,Dhemaji,dhemaji,True,True
2026-07-20,Tinsukia,tinsukia,True,True
2026-07-20,Nagaon,nagaon,True,True
2026-07-20,Karbi Anglong,karbianglong,True,True
2026-07-20,Kamrup,kamrup,True,True
2026-07-20,Kamrup (M),kamrupm,True,True
2026-07-20,Sivasagar,sivasagar,True,True
2026-07-21,Golaghat,golaghat,True,True
2026-07-21,Kamrup,kamrup,True,True
2026-07-21,Hojai,hojai,True,True
2026-07-21,Dibrugarh,dibrugarh,True,True
2026-07-21,Biswanath,biswanath,True,True
2026-07-21,Dhemaji,dhemaji,True,True
2026-07-21,Sonitpur,sonitpur,True,True
2026-07-21,Udalguri,udalguri,True,True
